[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesLayerRule
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesSchemeNetClassRule
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesScheme
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesLayer
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesNetClass
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesClearRule
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesConstraintClass
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesViaSpan
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesGenClear
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesPartTech
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesConstVar
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesC2CClearRule
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesPkgTypeClearRule
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesP2PClearRule
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesParRuleSection
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesParRuleDef
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesNoiseRule
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesGenObj
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesGenCompObj
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesGenObjType
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesVia
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesZAxisLayerRule
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesZAxisClearRule
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: ConfigCheck: CDBImplComp
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: ConfigCheck: CDBImplNet
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: ConfigCheck: CDBImplPin
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: Snapshot: DxD check finished.
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: Snapshot: clipboard_j82t579
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: SnapshotCheck: CDBImplBlock
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: SnapshotCheck: CDBImplComp
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: SnapshotCheck: DxDCompView (cached)
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: DxDCheck: LineDxD
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: DxDCheck: CircleDxD
[2014.11.03 10:17:05] [0000m.01s.059ms] [2] Diagnostic: DxDCheck: ArcDxD
